globalid;address;parentglobalid
44085400;243140, Брянская обл, Клинцы г., Ленина пр-кт, домовладение 13;6174575
44291747;243020, Брянская обл, Новозыбков г., Некрасова пер., домовладение 8;5393298
44294393;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 44;5449875
44307877;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 179;6090596
44304320;243020, Брянская обл, Новозыбков г., Куйбышева пер., домовладение 6;6162003
44298555;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 167;6090596
44160170;243020, Брянская обл, Новозыбков г., ОХ Волна Революции ул., домовладение 47;6076171
44296458;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 46;6090596
44174650;243020, Брянская обл, Новозыбков г., Володарского ул., домовладение 44А;5691897
44290841;243020, Брянская обл, Новозыбков г., Некрасова пер., домовладение 13;5393298
44287459;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 14;5449875
44299380;243020, Брянская обл, Новозыбков г., Некрасова пер., домовладение 20;5393298
44303359;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 67;6218944
44289196;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 77;5449875
44299831;243020, Брянская обл, Новозыбков г., Красина ул., домовладение 21А;6275775
44303129;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 76;6090596
44293130;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 32;6218944
44287812;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 44;6090596
44307053;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 43;6218944
44300002;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 86;6090596
44290336;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 151;6090596
44305286;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 8;6218944
44302323;243020, Брянская обл, Новозыбков г., Матросова пер., домовладение 32;5919876
44301601;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 18;5449875
44156298;243020, Брянская обл, Новозыбков г., Бульварный пер., домовладение 20А;5848825
44301340;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 183;6090596
44303006;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 36;6218944
44181991;243020, Брянская обл, Новозыбков г., Воровского ул., домовладение 22;6162019
44290573;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 23;5449875
44295084;243020, Брянская обл, Новозыбков г., Некрасова пер., домовладение 25;5393298
44307634;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 72;6090596
44304959;243020, Брянская обл, Новозыбков г., Матросова пер., домовладение 23;5919876
44301644;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 82;6090596
44306062;243020, Брянская обл, Новозыбков г., Лермонтова пер., домовладение 10;5891446
44295499;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 65;5449875
44297337;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 7;5449875
44302132;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 31;6090596
44299644;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 66;5449875
44187949;243020, Брянская обл, Новозыбков г., Гагарина пер., домовладение 15;5407185
44299988;243020, Брянская обл, Новозыбков г., Лермонтова пер., домовладение 16;5891446
44291131;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 43;6090596
44198725;243020, Брянская обл, Новозыбков г., Бульварный пер., домовладение 20Б;5848825
44299792;243020, Брянская обл, Новозыбков г., Маяковского ул., домовладение 12;6105095
44153812;243020, Брянская обл, Новозыбков г., ОХ Волна Революции ул., домовладение 2А;6076171
44293441;243020, Брянская обл, Новозыбков г., Матросова пер., домовладение 14;5919876
44301978;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 25;6218944
44295834;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 81;6090596
44170218;243020, Брянская обл, Новозыбков г., Весенний пер., домовладение 8;6247373
44153367;243020, Брянская обл, Новозыбков г., Брянская ул., домовладение 32;5706106
44296562;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 87А;6090596
44288956;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 173А;6090596
44303717;243020, Брянская обл, Новозыбков г., Матросова пер., домовладение 47;5919876
44302308;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 23;6218944
44292453;243020, Брянская обл, Новозыбков г., Маяковского ул., домовладение 29;6105095
44300781;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 71;6218944
44156585;243020, Брянская обл, Новозыбков г., ОХ Волна Революции ул., домовладение 49;6076171
44300248;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 63;5449875
44299310;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 8;5449875
44307810;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 54;5449875
44303856;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 28;6218944
44308161;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 19;6218944
44293233;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 47;6090596
44306639;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 37;5449875
44293951;243020, Брянская обл, Новозыбков г., Луговая ул., домовладение 55;6218944
44208252;243020, Брянская обл, Новозыбков г., Воровского ул., домовладение 6Б;6162019
44306237;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 58А;6090596
44289395;243020, Брянская обл, Новозыбков г., Наримановская ул., домовладение 49;6090596
44299328;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 10;5449875
44294036;243020, Брянская обл, Новозыбков г., Молодежный пер., домовладение 25;5449875
44295252;243020, Брянская обл, Новозыбков г., Комсомольская ул., владение 41А;6176206
44161281;397166, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Станичная ул., дом 10;5762281
44306974;397171, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Тенистый пер., дом 8;6175963
44293261;397164, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Первомайская ул., дом 93;5947479
44290823;397171, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Тенистый пер., дом 10;6175963
43944481;397166, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Цветочный пер., владение 7;6075314
44217818;397524, Воронежская обл, Бутурлиновский р-н, Клеповка с., Пролетарская ул., дом 42А;6120291
44305566;300026, Тульская обл, Тула г., Менделеевский п., Полевая ул., дом 11;5881349
44302633;397531, Воронежская обл, Бутурлиновский р-н, Козловка с., Октябрьская ул., дом 37/2;5800244
44291569;300026, Тульская обл, Тула г., Менделеевский п., Полевая ул., дом 14;5881349
44287322;300904, Тульская обл, Тула г., Энергетиков проезд, дом 10;6159711
44292851;300904, Тульская обл, Тула г., Энергетиков проезд, дом 4;6159711
44290863;300041, Тульская обл, Тула г., Пушкинская ул., дом 27;6286802
44289049;300041, Тульская обл, Тула г., Пушкинский проезд, дом 3б;6187044
44301877;397531, Воронежская обл, Бутурлиновский р-н, Козловка с., Красная Углянка ул., дом 54;5458300
44297590;397531, Воронежская обл, Бутурлиновский р-н, Козловка с., Красная Углянка ул., дом 166;5458300
44159395;397166, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Станичная ул., дом 14;5762281
44291724;300041, Тульская обл, Тула г., Пушкинская ул., дом 55;6286802
44287699;241517, Брянская обл, Брянский р-н, Дубровка д., Лесная ул., дом 2б;6253819
43926576;397171, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Советская ул., дом 84А;5577193
44292130;303031, Орловская обл, Мценск г., Машиностроителей ул., дом 19;5904842
43938398;397171, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Цветочный пер., дом 4;6075314
44186141;397166, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Станичная ул., дом 6;5762281
44299705;303030, Орловская обл, Мценск г., Карла Маркса ул., дом 63а;5876785
44307342;156535, Костромская обл, Костромской р-н, Лежнево д., дом 34б;5313711
44097036;243140, Брянская обл, Клинцы г., Ленина пр-кт, домовладение 45;6174575
43965775;397171, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Аэродромная ул., владение 31А;5620436
44287212;397166, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Станичная ул., владение 13;5762281
4630150;397691, Воронежская обл, Петропавловский р-н, Красноселовка с., Набережная ул., дом 4;5480104
15133376;242610, Брянская обл, Фокино г., Кирова ул., дом 34;6076106
